"#";"Url";"Type";"Anchor";"No-follow";"Google cachedate";"Google index";"Yahoo index";"Bing index";"Alexa rank";"SEMrush Rank";"SEMrush SE Traffic";"SEMrush SE Traffic price";"SEMrush advertiser display ads";"SEMrush publisher display ads";"Baidu index";"SEMrush backlinks";"SEMrush subdomain backlinks";"SEMrush root domain backlinks"
"12";"https://a.familypromiseservicetracker.dev/";"text";"Family Promise Tracker";"No";"n/a";"2";"n/a";"1 ";"n/a";"n/a";"n/a";"n/a";"0";"0";"n/a";"688";"699";"699"
"11";"https://bg-portfolio.netlify.app/";"text";"Condensed -Portfolio";"No";"n/a";"1";"n/a";"n/a";"n/a";"n/a";"n/a";"n/a";"25998";"0";"n/a";"267";"267";"267"
"14";"https://bgoonz-blog-v3-0.netlify.app/";"text";"External";"No";"n/a";"10";"n/a";"1 ";"n/a";"n/a";"n/a";"n/a";"25998";"0";"n/a";"760";"763";"763"
"";"";"text";"alt-blogs";"No"
"";"";"text";"Blog Backup";"No"
"17";"https://bgoonz-cv.netlify.app/";"text";"Cover Letter";"No";"n/a";"1";"n/a";"1 ";"n/a";"n/a";"n/a";"n/a";"25998";"0";"n/a";"243";"243";"243"
"16";"https://bgoonz-games.netlify.app/";"text";"Games";"No";"n/a";"1";"n/a";"n/a";"n/a";"55375268";"n/a";"n/a";"25998";"0";"n/a";"245";"245";"245"
"1";"https://bgoonz.blogspot.com/";"text";"Blog-Post-Archive";"No";"n/a";"1";"n/a";"42 ";"n/a";"n/a";"n/a";"n/a";"0";"0";"n/a";"577";"578";"578"
"20";"https://bgoonz.github.io/github-stats-website/";"text";"github-stats-website";"No";"?";"19";"n/a";"718 ";"n/a";"n/a";"n/a";"n/a";"15850";"503061";"n/a";"567";"2219";"2219"
"10";"https://bgoonz.github.io/searchAwesome/";"text";"SearchAwesome";"No";"?";"19";"n/a";"718 ";"n/a";"n/a";"n/a";"n/a";"15850";"503061";"n/a";"536";"2219";"2219"
"2";"https://blog-w-comments.vercel.app/";"text";"Top Blog Posts";"No";"n/a";"5";"n/a";"n/a";"n/a";"n/a";"n/a";"n/a";"1617";"0";"n/a";"610";"611";"611"
"6";"https://bryan-guner.gitbook.io/my-docs/";"text";"MY_DOCS";"No";"?";"7";"n/a";"1,550 ";"3698";"61622";"42286";"57886";"48";"0";"n/a";"555";"1363";"10271706"
"29";"https://cdpn.io/bgoonz/fullpage/LYLJZrW";"text";"WHAT ARE YOUR PRIVACY RIGHTS?";"No";"?";"16,000";"n/a";"n/a";"59614";"2779008";"208";"74";"0";"0";"n/a";"0";"430620";"431001"
"24";"https://determined-dijkstra-ee7390.netlify.app/";"text";"Job Search Resources";"No";"?";"2";"n/a";"n/a";"n/a";"34332049";"n/a";"n/a";"25998";"0";"n/a";"247";"247";"247"
"41";"https://dev.to/bgoonz";"text";"dev.to";"No";"?";"937,000";"n/a";"261,000 ";"4733";"8000";"416921";"368872";"2";"0";"n/a";"708";"10038941";"10043074"
"22";"https://devtools42.netlify.app/";"text";"Text Tools";"No";"?";"2";"n/a";"n/a";"n/a";"28600651";"n/a";"n/a";"25998";"0";"n/a";"251";"251";"251"
"15";"https://friendly-panda-b61ab.netlify.app/";"text";"Embeds Blog";"No";"?";"?";"n/a";"n/a";"n/a";"n/a";"n/a";"n/a";"25998";"0";"n/a";"243";"244";"244"
"21";"https://githtmlpreview.netlify.app/";"text";"Github HTML Previewer";"No";"?";"1";"n/a";"n/a";"n/a";"n/a";"n/a";"n/a";"25998";"0";"n/a";"277";"278";"278"
"38";"https://github.com/bgoonz";"text";"GitHub";"No";"?";"76,700,000";"n/a";"74,400,000 ";"89";"335";"12601986";"15418563";"26368";"80";"100,000,000";"1119";"5240831085";"5511164809"
"28";"https://github.com/bgoonz/BGOONZ_BLOG_2.0";"text";"";"No";"?";"76,700,000";"n/a";"74,400,000 ";"89";"335";"12601986";"15418563";"26368";"80";"100,000,000";"689";"5240831085";"5511164809"
"3";"https://github.com/bgoonz/Learning-Assets";"text";"Resource-Archive-Server";"No";"n/a";"76,700,000";"n/a";"74,400,000 ";"89";"335";"12601986";"15418563";"26368";"80";"100,000,000";"633";"5240831085";"5511164809"
"13";"https://github.com/bgoonz/Revamped-Automatic-Guitar-Effect-Triggering";"text";"DTW-Guitar-FX-Automation";"No";"?";"76,700,000";"n/a";"74,400,000 ";"89";"335";"12601986";"15418563";"26368";"80";"100,000,000";"608";"5240831085";"5511164809"
"25";"https://github.com/bgoonz/web-dev-setup-checker";"text";"Setup Checker";"No";"?";"76,700,000";"n/a";"74,400,000 ";"89";"335";"12601986";"15418563";"26368";"80";"100,000,000";"451";"5240831085";"5511164809"
"27";"https://github.com/search/advanced";"text";"Github-Advanced-Search";"No";"?";"76,700,000";"n/a";"74,400,000 ";"89";"335";"12601986";"15418563";"26368";"80";"100,000,000";"2708";"5240831085";"5511164809"
"4";"https://lambda-resources.netlify.app/";"text";"Bootcamp Resources";"No";"n/a";"2";"n/a";"n/a";"n/a";"n/a";"n/a";"n/a";"25998";"0";"n/a";"273";"326";"326"
"8";"https://meditate42app.netlify.app/";"text";"Meditation App";"No";"?";"1";"n/a";"n/a";"n/a";"n/a";"n/a";"n/a";"25998";"0";"n/a";"247";"247";"247"
"9";"https://panoramic-eggplant-452e4.netlify.app/";"text";"WebAudioLab";"No";"?";"?";"n/a";"n/a";"n/a";"n/a";"n/a";"n/a";"25998";"0";"n/a";"248";"248";"248"
"34";"https://pdfcrowd.com/url_to_pdf/?";"text";"Save to PDF";"No";"?";"1,650";"n/a";"3,720 ";"114051";"523298";"2776";"2132";"0";"0";"n/a";"253186";"5108897";"5108979"
"7";"https://potluck-landing.netlify.app/";"text";"Potluck Planner";"No";"?";"3";"n/a";"1 ";"n/a";"39450705";"n/a";"n/a";"25998";"0";"n/a";"490";"491";"491"
"";"";"text";"PotluckPlanner";"No"
"18";"https://project-portfolio42.netlify.app/";"text";"Project Centric";"No";"?";"2";"n/a";"n/a";"n/a";"n/a";"n/a";"n/a";"25998";"0";"n/a";"660";"660";"660"
"";"";"text";"Project Portfolio Gallery";"No"
"35";"https://random-static-html-deploys.netlify.app/blm.html";"text";"BLM";"No";"?";"?";"n/a";"1 ";"n/a";"n/a";"n/a";"n/a";"25998";"0";"n/a";"101";"174";"174"
"31";"https://search.freefind.com/find.html?si=14588965&m=0&p=0";"text";"sitemap";"No";"?";"1";"n/a";"142,000 ";"40351";"2656767";"226";"153";"0";"2";"n/a";"546";"22429186";"36196696"
"32";"https://search.freefind.com/find.html?si=14588965&pid=a";"text";"advanced";"No";"?";"1";"n/a";"142,000 ";"40351";"2656767";"226";"153";"0";"2";"n/a";"548";"22429186";"36196696"
"30";"https://search.freefind.com/siteindex.html?si=14588965";"text";"index";"No";"?";"1";"n/a";"142,000 ";"40351";"2656767";"226";"153";"0";"2";"n/a";"546";"22429186";"36196696"
"23";"https://ternary42.netlify.app/";"text";"Ternary 2 If Else";"No";"?";"1";"n/a";"n/a";"n/a";"37988701";"n/a";"n/a";"25998";"0";"n/a";"251";"251";"251"
"36";"https://twitter.com/bgooonz";"text";"Twitter";"No";"?";"2,420,000,000";"n/a";"537,000,000 ";"35";"19";"201160850";"177181424";"52913";"34";"n/a";"700";"63136880884";"68402400170"
"19";"https://web-dev-hub.com/";"text";"Wordpress Blog";"No";"?";"75";"n/a";"23 ";"n/a";"54708192";"n/a";"n/a";"0";"0";"n/a";"832";"927";"927"
"26";"https://web-dev-interview-prep-quiz-website.netlify.app/";"text";"WebDev Quizzes";"No";"?";"6";"n/a";"n/a";"n/a";"n/a";"n/a";"n/a";"25998";"0";"n/a";"245";"257";"257"
"5";"https://web-dev-resource-hub.netlify.app/";"text";"OG-Blog";"No";"n/a";"7";"n/a";"n/a";"n/a";"21908505";"n/a";"n/a";"25998";"0";"n/a";"327";"1322";"1322"
"33";"https://www.freefind.com/";"text";"search engine";"Yes";"?";"93";"n/a";"78 ";"40351";"2656767";"226";"153";"0";"2";"60";"6431092";"12201972";"36360644"
"";"";"text";"by freefind";"Yes"
"40";"https://www.instagram.com/bgoonz/?hl=en";"text";"Instagram";"No";"?";"700,000,000";"n/a";"157,000,000 ";"23";"7";"489854435";"465850778";"627652";"0";"n/a";"649";"43007706673";"52317743272"
"37";"https://www.linkedin.com/in/bryan-guner-046199128/";"text";"LinkedIn";"No";"?";"278,000,000";"n/a";"13,200,000 ";"45";"33";"115394580";"185200687";"243169";"30";"n/a";"713";"13160956088";"15650424552"
"39";"https://www.youtube.com/channel/UC9-rYyUMsnEBK8G8fCyrXXA";"text";"Youtube";"No";"?";"3,910,000,000";"n/a";"n/a";"2";"3";"1206080530";"924142403";"2208814";"6";"n/a";"610";"42373793874";"45609923284"