"#";"Url";"Type";"Anchor";"No-follow";"Google index";"Bing index";"Alexa rank";"SEMrush Rank";"SEMrush backlinks";"SEMrush subdomain backlinks"
"1";"https://bgoonz.blogspot.com/";"text";"Blog-Post-Archive";"No";"1";"42 ";"n/a";"n/a";"577";"578"
"2";"https://blog-w-comments.vercel.app/";"text";"Top Blog Posts";"No";"5";"n/a";"n/a";"n/a";"610";"611"
"3";"https://github.com/bgoonz/Learning-Assets";"text";"Resource-Archive-Server";"No";"76,700,000";"74,400,000 ";"89";"335";"633";"wait..."
"4";"https://lambda-resources.netlify.app/";"text";"Bootcamp Resources";"No";"2";"n/a";"n/a";"n/a";"273";"326"
"5";"https://web-dev-resource-hub.netlify.app/";"text";"OG-Blog";"No";"7";"n/a";"n/a";"21908505";"327";"1322"
"6";"https://bryan-guner.gitbook.io/my-docs/";"text";"MY_DOCS";"No";"7";"1,550 ";"3698";"61622";"555";"wait..."
"7";"https://potluck-landing.netlify.app/";"text";"Potluck Planner";"No";"3";"1 ";"n/a";"39450705";"490";"491"
"";"";"text";"PotluckPlanner";"No"
"8";"https://meditate42app.netlify.app/";"text";"Meditation App";"No";"1";"n/a";"n/a";"n/a";"247";"247"
"9";"https://panoramic-eggplant-452e4.netlify.app/";"text";"WebAudioLab";"No";"n/a";"n/a";"n/a";"n/a";"248";"248"
"10";"https://bgoonz.github.io/searchAwesome/";"text";"SearchAwesome";"No";"19";"718 ";"n/a";"n/a";"536";"wait..."
"11";"https://bg-portfolio.netlify.app/";"text";"Condensed -Portfolio";"No";"1";"n/a";"n/a";"n/a";"267";"267"
"12";"https://a.familypromiseservicetracker.dev/";"text";"Family Promise Tracker";"No";"2";"1 ";"n/a";"n/a";"688";"699"
"13";"https://github.com/bgoonz/Revamped-Automatic-Guitar-Effect-Triggering";"text";"DTW-Guitar-FX-Automation";"No";"76,700,000";"74,400,000 ";"89";"335";"608";"wait..."
"14";"https://bgoonz-blog-v3-0.netlify.app/";"text";"External";"No";"10";"1 ";"n/a";"n/a";"760";"763"
"";"";"text";"alt-blogs";"No"
"";"";"text";"Blog Backup";"No"
"15";"https://friendly-panda-b61ab.netlify.app/";"text";"Embeds Blog";"No";"n/a";"n/a";"n/a";"n/a";"243";"244"
"16";"https://bgoonz-games.netlify.app/";"text";"Games";"No";"1";"n/a";"n/a";"55375268";"245";"245"
"17";"https://bgoonz-cv.netlify.app/";"text";"Cover Letter";"No";"1";"1 ";"n/a";"n/a";"243";"243"
"18";"https://project-portfolio42.netlify.app/";"text";"Project Centric";"No";"2";"n/a";"n/a";"n/a";"660";"660"
"";"";"text";"Project Portfolio Gallery";"No"
"19";"https://web-dev-hub.com/";"text";"Wordpress Blog";"No";"75";"23 ";"n/a";"54708192";"832";"927"
"20";"https://bgoonz.github.io/github-stats-website/";"text";"github-stats-website";"No";"19";"718 ";"n/a";"n/a";"567";"wait..."
"21";"https://githtmlpreview.netlify.app/";"text";"Github HTML Previewer";"No";"1";"n/a";"n/a";"n/a";"277";"278"
"22";"https://devtools42.netlify.app/";"text";"Text Tools";"No";"2";"n/a";"n/a";"28600651";"251";"251"
"23";"https://ternary42.netlify.app/";"text";"Ternary 2 If Else";"No";"1";"n/a";"n/a";"37988701";"251";"251"
"24";"https://determined-dijkstra-ee7390.netlify.app/";"text";"Job Search Resources";"No";"2";"n/a";"n/a";"34332049";"247";"247"
"25";"https://github.com/bgoonz/web-dev-setup-checker";"text";"Setup Checker";"No";"76,700,000";"74,400,000 ";"89";"335";"451";"wait..."
"26";"https://web-dev-interview-prep-quiz-website.netlify.app/";"text";"WebDev Quizzes";"No";"6";"n/a";"n/a";"n/a";"245";"257"
"27";"https://github.com/search/advanced";"text";"Github-Advanced-Search";"No";"76,700,000";"74,400,000 ";"89";"335";"2708";"wait..."
"28";"https://github.com/bgoonz/BGOONZ_BLOG_2.0";"text";"";"No";"76,700,000";"74,400,000 ";"89";"335";"689";"wait..."
"29";"https://cdpn.io/bgoonz/fullpage/LYLJZrW";"text";"WHAT ARE YOUR PRIVACY RIGHTS?";"No";"16,000";"n/a";"59614";"2779008";"0";"wait..."
"30";"https://search.freefind.com/siteindex.html?si=14588965";"text";"index";"No";"1";"142,000 ";"40351";"2656767";"546";"wait..."
"31";"https://search.freefind.com/find.html?si=14588965&m=0&p=0";"text";"sitemap";"No";"1";"142,000 ";"40351";"2656767";"546";"wait..."
"32";"https://search.freefind.com/find.html?si=14588965&pid=a";"text";"advanced";"No";"1";"142,000 ";"40351";"2656767";"548";"wait..."
"33";"https://search.freefind.com/find.html";"form";"";"No";"1";"142,000 ";"40351";"2656767";"7131171";"wait..."
"35";"https://bgoonz.github.io/fb-and-twitter-api-embeds/";"frame";"";"No";"19";"718 ";"n/a";"n/a";"574";"wait..."
"36";"https://pdfcrowd.com/url_to_pdf/?";"text";"Save to PDF";"No";"1,650";"3,720 ";"114051";"523298";"253186";"wait..."
"37";"https://random-static-html-deploys.netlify.app/blm.html";"text";"BLM";"No";"n/a";"1 ";"n/a";"n/a";"101";"wait..."
"38";"https://twitter.com/bgooonz";"text";"Twitter";"No";"2,420,000,000";"537,000,000 ";"35";"19";"700";"wait..."
"39";"https://www.linkedin.com/in/bryan-guner-046199128/";"text";"LinkedIn";"No";"278,000,000";"13,200,000 ";"45";"33";"713";"wait..."
"40";"https://github.com/bgoonz";"text";"GitHub";"No";"76,700,000";"74,400,000 ";"89";"335";"1119";"wait..."
"41";"https://www.youtube.com/channel/UC9-rYyUMsnEBK8G8fCyrXXA";"text";"Youtube";"No";"3,910,000,000";"n/a";"2";"3";"610";"wait..."
"42";"https://www.instagram.com/bgoonz/?hl=en";"text";"Instagram";"No";"700,000,000";"157,000,000 ";"23";"7";"649";"wait..."
"43";"https://dev.to/bgoonz";"text";"dev.to";"No";"937,000";"261,000 ";"4733";"8000";"wait...";"wait..."
"44";"https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-7131725540181116&output=html&adk=1812271804&adf=3025194257&lmt=1639108726&plat=1%3A16777216%2C3%3A32%2C4%3A32%2C9%3A32776%2C16%3A8388608%2C17%3A32%2C24%3A32%2C25%3A32%2C30%3A1081344%2C32%3A32&format=0x0&url=https%3A%2F%2Fbgoonz-blog.netlify.app%2Fdocs%2Fprivacy-policy%2F&ea=0&flash=0&pra=5&wgl=1&uach=WyJXaW5kb3dzIiwiMTQuMC4wIiwieDg2IiwiIiwiOTYuMC40NjY0LjQ1IixbXSxudWxsLG51bGwsIjY0Il0.&dt=1639108726476&bpp=3&bdt=490&idt=219&shv=r20211207&mjsv=m202112010101&ptt=9&saldr=aa&abxe=1&nras=1&correlator=1117725123175&frm=20&pv=2&ga_vid=1369923753.1639107933&ga_sid=1639108727&ga_hid=627294729&ga_fc=1&u_tz=-300&u_his=6&u_h=800&u_w=1423&u_ah=765&u_aw=1423&u_cd=24&u_sd=0.9&dmc=8&adx=-12245933&ady=-12245933&biw=2111&bih=1041&scr_x=0&scr_y=0&eid=31063792%2C31063859&oid=2&pvsid=1204757220186199&pem=83&tmod=86&ref=https%3A%2F%2Fsearch.freefind.com%2F&eae=2&fc=1920&brdim=0%2C0%2C0%2C0%2C1423%2C0%2C1423%2C765%2C2135%2C1041&vis=1&rsz=%7C%7Cs%7C&abl=NS&fu=32768&bc=31&ifi=1&uci=a!1&fsb=1&dtd=243";"frame";"";"No";"2";"58,600 ";"4131";"1300011";"wait...";"wait..."
"45";"https://s7.addthis.com/static/sh.f48a1a04fe8dbf021b4cda1d.html";"frame";"";"No";"28";"84 ";"667";"141378";"wait...";"wait..."
"46";"https://www.google.com/recaptcha/api2/aframe";"frame";"";"No";"10,600,000";"126,000,000 ";"1";"5";"wait...";"wait..."
"34";"https://www.freefind.com/";"text";"search engine";"Yes";"93";"78 ";"40351";"2656767";"6431092";"12201972"
"";"";"text";"by freefind";"Yes"